base_capture_points	base_defense_points	base_xp	battles	big_image	class	damage	damage_blocked	damage_received	direct_hits	distance_traveled	frags	hit_rate	image	isPrem	life_time	name	nation	pen_rate	penetrations	player_winrate	player_wn8	potential_damage_received	shots_fired	sniper_damage	spots	spotting_assist	survival	tank_id	tier	tracking_assist	winrate	winrate_differential	wn8	wnx
0.07	0.25	395	431014	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/germany-G49_G_Panther.png	SPG	711	3	227	2.36	348	0.53	29.12	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/germany-G49_G_Panther.png	False	344	G.W. Panther	Germany	8.06	0.19	48.41	919	246	8.11	670	0.02	13	38.56	8977	7	26	49.73	1.32	737	592
0.92	0.09	509	428443	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/ussr-R134_Object_252U.png	HT	1215	945	1432	4.69	1144	0.64	73.37	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R134_Object_252U.png	True	279	Obj. 252U	USSR	64.45	3.02	49.03	1186	2423	6.39	109	0.81	245	24.41	49665	8	37	49.51	0.48	1162	1174
0.78	0.18	483	423477	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/china-Ch43_WZ_122_2.png	MT	1166	605	1208	4.41	1311	0.67	72.95	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/china-Ch43_WZ_122_2.png	True	297	122 TM	China	71.97	3.17	49.33	1222	1858	6.04	278	0.76	305	28.27	65329	8	34	50.21	0.88	1187	1093
0.87	0.1	470	423456	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/germany-G16_PzVIB_Tiger_II.png	HT	1030	604	1680	5.35	1051	0.53	74.06	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/germany-G16_PzVIB_Tiger_II.png	False	274	Tiger II	Germany	60.18	3.22	47.89	955	2327	7.22	151	0.75	225	22.93	5137	8	39	48.26	0.37	1042	983
0.48	0.18	497	405385	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/china-Ch25_121_mod_1971B.png	MT	1537	538	1762	6.17	1479	0.63	71.57	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/china-Ch25_121_mod_1971B.png	True	280	121B	China	67.22	4.15	49.29	1217	2279	8.63	451	1.03	479	23.3	63537	10	58	47.39	-1.9	1087	1086
0.31	0.37	548	404803	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/uk-GB120_Concept_No_5.png	MT	2325	121	1642	6.94	1854	0.93	75.11	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB120_Concept_No_5.png	False	309	Concept 5	UK	77.88	5.41	53.18	1896	1692	9.24	1085	1.03	458	29.92	19281	10	81	51.47	-1.71	1940	1821
0.78	0.13	537	402599	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/usa-A66_M103.png	HT	1511	917	1848	6.22	1152	0.64	75.71	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/usa-A66_M103.png	False	283	M103	USA	64.92	4.04	49.52	1281	2785	8.22	190	0.91	289	24.75	9505	9	47	49.43	-0.09	1341	1264
0.45	0.2	526	401044	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/germany-G73_E50_Ausf_M.png	MT	1774	746	1906	6.87	1497	0.71	74.25	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/germany-G73_E50_Ausf_M.png	False	277	E 50 M	Germany	67.5	4.63	50.68	1421	2634	9.25	466	1.09	450	23.84	12305	10	69	49.38	-1.3	1350	1276
0.36	0.28	517	398890	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/ussr-R158_LT_432.png	LT	802	177	1018	5.46	1667	0.64	73.26	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R158_LT_432.png	True	232	LT-432	USSR	75.63	4.13	52.65	1809	1211	7.45	174	3.19	1030	17.71	45569	8	26	51.48	-1.17	1536	1720
0.53	0.24	500	396766	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/germany-G114_Skorpian.png	TD	1437	5	953	4.19	1229	0.87	63.15	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/germany-G114_Skorpian.png	True	312	Skorpion	Germany	77.54	3.25	50.8	1465	918	6.64	835	0.35	159	29.41	62481	8	41	50.31	-0.49	1454	1395
