base_capture_points	base_defense_points	base_xp	battles	big_image	class	damage	damage_blocked	damage_received	direct_hits	distance_traveled	frags	hit_rate	image	isPrem	life_time	name	nation	pen_rate	penetrations	player_winrate	player_wn8	potential_damage_received	shots_fired	sniper_damage	spots	spotting_assist	survival	tank_id	tier	tracking_assist	winrate	winrate_differential	wn8	wnx
0.86	0.15	542	151213	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/sweden-S17_EMIL_1952_E2.png	HT	1550	748	1623	6.31	1126	0.75	76.15	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/sweden-S17_EMIL_1952_E2.png	False	299	Emil II	Sweden	63.56	4.01	49.25	1215	2368	8.28	200	0.74	281	28.55	2177	9	52	50	0.75	1294	1254
1.18	0.26	314	150834	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/germany-G13_VK3001H.png	MT	545	127	622	5.59	1056	0.67	64.18	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/germany-G13_VK3001H.png	False	249	VK 30.01 H	Germany	76.97	4.3	47.84	966	735	8.71	132	0.81	148	23.34	2577	5	24	49.91	2.07	1241	1190
0.99	0.35	355	150472	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/germany-G17_JagdPzIV.png	TD	712	102	546	4.97	1027	0.76	59.43	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/germany-G17_JagdPzIV.png	False	294	Jg.Pz. IV	Germany	74.44	3.7	47.99	937	662	8.37	338	0.4	128	28.85	1553	6	28	48.81	0.82	1196	1107
0.34	0.23	667	148792	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/ussr-R110_Object_260.png	HT	2763	1422	2096	9.35	1480	0.98	81.47	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R110_Object_260.png	True	273	Obj. 260	USSR	69.43	6.49	54.42	2163	3477	11.48	319	1.84	521	25.92	58369	10	71	55.42	1	2276	2169
0.81	0.14	524	148460	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/czech-Cz16_TNH_T_vz51.png	HT	1450	750	1755	5.52	1228	0.64	77.32	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/czech-Cz16_TNH_T_vz51.png	False	288	TNH T Vz. 51	Czech	65.71	3.63	49.14	1204	2522	7.14	173	0.95	276	25.48	3185	9	50	49.44	0.3	1193	1145
0.84	0.23	328	148306	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl32_SDP_Wz_44.png	TD	660	313	599	3.49	954	0.64	58.9	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/poland-Pl32_SDP_Wz_44.png	False	275	Burza	Poland	76.87	2.68	48.73	994	914	5.92	260	0.38	101	24.98	6545	6	22	48.48	-0.25	995	903
0.68	0.33	509	147747	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/uk-GB103_GSOR3301_AVR_FS.png	LT	774	13	1277	4.3	1800	0.53	74.41	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB103_GSOR3301_AVR_FS.png	False	269	AVR FS	UK	79.66	3.43	50.77	1440	1186	5.79	185	3.13	1338	24.3	58705	9	28	50.62	-0.15	1127	1447
0.04	0.22	427	145190	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/uk-GB79_FV206.png	SPG	834	13	265	2.73	323	0.49	31.75	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB79_FV206.png	False	355	FV207	UK	7.48	0.2	49.47	1097	313	8.61	790	0.02	14	39.78	12113	8	23	49.58	0.11	877	600
0.56	0.27	529	144957	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/ussr-R144_K_91.png	MT	1794	361	1697	8.3	1466	0.82	70.24	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R144_K_91.png	False	299	K-91	USSR	70.53	5.86	50.95	1445	2041	11.82	689	0.92	511	27.77	21761	10	78	49.39	-1.56	1378	1338
0.9	0.27	394	144443	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/usa-A72_T25_2.png	TD	832	76	745	4.49	1080	0.66	62.55	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/usa-A72_T25_2.png	False	298	T25/2	USA	73.99	3.32	48.29	985	845	7.18	373	0.46	168	28.13	11041	7	32	48.87	0.58	1055	1076
0.51	0.14	467	144088	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/ussr-R87_T62A.png	MT	1268	434	1799	6.27	1382	0.53	70.3	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R87_T62A.png	False	264	T-62A	USSR	65.79	4.13	48.75	1104	2220	8.92	368	0.91	433	19.6	13825	10	55	45.64	-3.11	864	811
0.74	0.19	475	144003	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/usa-A90_T69.png	MT	1050	303	1345	6.76	1316	0.69	69.36	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/usa-A90_T69.png	False	280	T69	USA	70.48	4.77	48.83	1150	1687	9.75	239	0.8	285	24.22	14625	8	38	48.86	0.03	1201	1068
0.76	0.09	449	143867	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/ussr-R170_IS_2_II.png	HT	951	471	1561	5.74	1070	0.52	72.01	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R170_IS_2_II.png	False	262	IS-2-II	USSR	60.74	3.48	48.4	994	2084	7.97	114	0.73	195	19.63	22785	8	38	46.21	-2.19	940	884
0.51	0.23	471	143735	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/germany-G126_HWK_12.png	LT	719	2	1133	4.09	1574	0.53	71.14	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/germany-G126_HWK_12.png	False	236	HWK 12	Germany	76	3.11	50.26	1409	1076	5.75	183	2.79	905	18.56	20241	8	29	49.41	-0.85	1237	1441
0.85	0.12	499	140292	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/uk-GB11_Caernarvon.png	HT	1070	761	1656	7.41	1080	0.58	72.17	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB11_Caernarvon.png	False	272	Caernarvon	UK	58.86	4.36	48.62	1075	2445	10.27	152	0.87	264	22.89	3921	8	45	48.87	0.25	1113	1092
0.85	0.27	425	140150	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/germany-G03_PzV_Panther.png	MT	740	215	1249	7.57	1267	0.6	65.39	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/germany-G03_PzV_Panther.png	False	270	Panther	Germany	73.94	5.59	48.28	1039	1455	11.57	205	0.86	252	23.07	1297	7	23	48.6	0.32	1040	981
0.99	0.12	494	138678	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/usa-A139_M_III_Y.png	HT	1044	785	1510	6.61	1169	0.57	72.74	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/usa-A139_M_III_Y.png	False	288	M-III-Y	USA	59.72	3.95	48.57	1022	2332	9.08	142	0.89	277	25.75	21025	8	40	48.93	0.36	1088	1075
0.51	0.25	678	138479	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/usa-A128_concept_1b.png	HT	2231	886	1719	8.65	1501	1.01	78.02	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/usa-A128_concept_1b.png	True	295	Concept 1B	USA	68.82	5.95	52.67	1841	2595	11.08	334	1.57	429	30.41	62753	9	64	56.26	3.59	1890	2070
0.91	0.14	492	138393	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/sweden-S18_EMIL_1951_E1.png	HT	1159	437	1396	5.74	1111	0.69	73.82	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/sweden-S18_EMIL_1951_E1.png	False	292	Emil I	Sweden	63.03	3.62	48.66	1098	1857	7.77	167	0.63	224	27.05	1921	8	43	48.65	-0.01	1174	1132
0.8	0.2	411	138054	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/sweden-S13_Leo.png	MT	766	80	1074	4.57	1322	0.61	65.2	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/sweden-S13_Leo.png	False	263	Leo	Sweden	71.84	3.29	48.5	1060	1140	7.01	183	0.93	253	21.68	1665	7	29	48.43	-0.07	1071	1010
0.79	0.3	337	137852	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/sweden-S08_Ikv_65_Alt_2.png	TD	718	0	548	4.09	1130	0.69	61.18	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/sweden-S08_Ikv_65_Alt_2.png	False	285	Ikv 65 II	Sweden	80.69	3.3	48.12	1012	537	6.69	358	0.36	109	25.81	3713	6	26	48.4	0.28	1192	1040
0.83	0.14	513	137585	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/italy-It19_Progetto_C50_mod_66.png	HT	1405	536	1758	6.24	1136	0.69	76.67	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/italy-It19_Progetto_C50_mod_66.png	False	286	Progetto 66	Italy	66.43	4.15	48.8	1097	2323	8.14	226	0.8	270	24.84	3489	9	53	48.72	-0.08	1211	1151
1.3	0.15	550	137145	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/japan-J28_O_I_100.png	HT	1246	952	1538	5.32	1037	0.87	72.02	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/japan-J28_O_I_100.png	False	281	O-Ni	Japan	70.51	3.75	49.93	1300	2446	7.39	138	0.81	235	29.08	5217	7	35	53.33	3.4	1656	1641
0.89	0.28	407	135656	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/china-Ch20_Type58.png	MT	717	148	858	6.33	1288	0.75	64.21	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/china-Ch20_Type58.png	False	256	Type 58	China	74.34	4.71	48.6	1114	985	9.86	164	0.99	223	22.77	5169	6	30	49.67	1.07	1345	1216
1.08	0.2	489	134908	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/france-F07_AMX_M4_1945.png	HT	1051	487	1341	6.16	1119	0.74	72.22	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/france-F07_AMX_M4_1945.png	False	276	AMX M4 45	France	72.01	4.44	48.5	1084	1789	8.54	126	0.88	211	25.81	6977	7	35	49.66	1.16	1405	1339
0.8	0.13	532	134277	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/ussr-R171_IS_3_II.png	HT	1421	879	1782	6.65	1178	0.68	75.06	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R171_IS_3_II.png	False	284	IS-3-II	USSR	62.13	4.13	49.06	1139	2698	8.85	157	0.89	276	24.96	22529	9	54	49.1	0.04	1201	1152
0.76	0.12	539	133974	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/ussr-R169_ST_II.png	HT	1721	1244	2341	7.14	1131	0.65	77.21	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R169_ST_II.png	False	303	ST-II	USSR	58.2	4.16	49.39	1192	3588	9.25	195	0.66	337	28.22	22273	10	64	47.19	-2.2	1146	1049
0.56	0.32	503	133795	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/uk-GB125_Saladin.png	MT	1193	5	1261	6.79	1658	0.77	69.34	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB125_Saladin.png	False	287	Saladin	UK	75.78	5.14	49.99	1389	1224	9.79	425	1.16	409	26.19	19793	8	43	50.7	0.71	1574	1486
0.17	0.35	253	133262	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/germany-G23_Grille.png	SPG	431	0	199	1.76	400	0.57	22.9	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/germany-G23_Grille.png	False	335	Grille	Germany	12.92	0.23	47.6	807	193	7.7	386	0.04	16	38.63	5649	5	34	49	1.4	767	598
0.57	0.19	428	132443	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/czech-Cz07_TVP_46.png	MT	963	72	1394	5.75	1340	0.6	69.13	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/czech-Cz07_TVP_46.png	False	270	TVP VTU	Czech	74.16	4.26	48.92	1199	1491	8.31	282	0.77	263	20.51	1905	8	39	44.83	-4.09	1141	975
0.49	0.23	561	132097	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/france-F130_Sentinelle.png	HT	1846	400	1700	6.6	1427	0.86	79.28	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/france-F130_Sentinelle.png	True	288	Sentinelle	France	76.73	5.06	51.34	1594	2096	8.33	360	1.1	313	26.39	66113	9	59	50.82	-0.52	1610	1603
0.41	0.37	610	130833	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/italy-It33_Prototipo_6.png	MT	1775	146	1141	7.71	1589	1.18	76.03	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/italy-It33_Prototipo_6.png	True	292	Prototipo 6	Italy	82.58	6.37	52.24	1752	1325	10.14	603	1.1	365	27.84	53409	8	62	52.69	0.45	1792	1894
0.32	0.4	393	130802	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/france-F24_Lorraine155_50.png	SPG	704	5	206	2.15	544	0.52	27.83	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/france-F24_Lorraine155_50.png	False	355	Lorr. 155 50	France	8	0.17	48.46	993	231	7.73	663	0.03	13	40.74	7233	7	23	49.75	1.29	757	599
0.61	0.12	487	130788	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/uk-GB13_FV215b.png	HT	1445	840	2388	6.35	1065	0.5	75.93	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB13_FV215b.png	True	276	FV215b	UK	59.59	3.78	48.9	1090	3162	8.36	263	0.67	299	21.99	6225	10	60	45.72	-3.18	950	883
0.54	0.26	563	128262	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/ussr-R187_Object_590.png	MT	1674	514	1599	7.49	1502	0.95	75.12	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R187_Object_590.png	True	290	Obj. 590	USSR	74.46	5.58	50.9	1521	2114	9.97	406	1.06	422	27.1	33793	9	67	51.28	0.38	1738	1514
0.33	0.17	493	127656	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/usa-A116_XM551.png	LT	1253	13	1733	3.85	1767	0.57	70.24	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/usa-A116_XM551.png	False	246	Sheridan	USA	65.19	2.51	51.97	1617	1604	5.47	320	2.65	1052	18.56	19489	10	55	48	-3.97	1380	1439
0.97	0.17	408	127547	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/japan-J44_Type_3_Ju_Nu.png	HT	779	319	1022	5.64	1027	0.65	69.5	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/japan-J44_Type_3_Ju_Nu.png	False	251	Ju-Nu	Japan	69.46	3.92	48.51	977	1294	8.11	111	0.85	168	21.86	7777	6	31	49.09	0.58	1032	1127
0.5	0.19	326	126728	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/france-F109_AMD_Panhard_178B.png	LT	370	0	657	5.23	1715	0.45	64.04	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/france-F109_AMD_Panhard_178B.png	False	189	AMD 178B	France	75.32	3.94	48.3	993	620	8.17	51	2.15	315	12.7	17985	6	10	49.48	1.18	942	770
0.66	0.35	526	126579	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/uk-GB133_Charioteer_MkVII.png	TD	1572	20	926	5.49	1364	1.01	64.4	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB133_Charioteer_MkVII.png	True	330	Nomad	UK	75.1	4.12	51.35	1560	949	8.53	831	0.51	240	34.06	62545	8	51	52.28	0.93	1697	1706
0.74	0.31	421	126401	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/uk-GB21_Cromwell.png	MT	710	62	861	7.16	1483	0.8	61.47	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB21_Cromwell.png	False	251	Cromwell	UK	77.18	5.53	48.73	1088	893	11.65	171	1.32	266	21.91	1105	6	24	50.28	1.55	1367	1334
0.82	0.13	502	125944	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/usa-A144_M_VI_Y.png	HT	1311	751	1785	6.34	1198	0.58	73.56	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/usa-A144_M_VI_Y.png	False	283	M-VI-Y	USA	61.95	3.93	48.57	1093	2569	8.61	191	0.82	260	23.72	21281	9	48	47.9	-0.67	1120	1032
0.46	0.26	571	125117	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/italy-It20_Carro_Combattimento_45t.png	MT	2157	584	1690	7.61	1558	0.96	77.11	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/italy-It20_Carro_Combattimento_45t.png	True	291	Carro 45 t	Italy	75.34	5.73	51.82	1713	2248	9.87	540	1.05	475	27.6	50849	10	90	51.7	-0.12	1624	1650
0.56	0.33	620	125114	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/germany-G144_Kpz_50t.png	MT	1877	648	1527	8.22	1622	0.99	73.66	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/germany-G144_Kpz_50t.png	True	303	Kpz 50 t	Germany	74.63	6.13	51.77	1665	2153	11.16	518	1.37	565	30.7	47121	9	67	54.26	2.49	1669	1771
0.71	0.18	442	125009	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/ussr-R146_STG_Tday.png	MT	1010	208	1184	3.9	1312	0.63	66.05	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R146_STG_Tday.png	True	287	Guard	USSR	72.3	2.82	48.22	1055	1425	5.9	320	0.75	312	24.7	47361	8	35	48.09	-0.13	1079	963
1.06	0.16	449	124983	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/uk-GB72_AT15.png	TD	987	918	1331	6.5	924	0.57	68.8	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB72_AT15.png	False	291	AT 15	UK	60.12	3.91	48.2	1022	2330	9.45	238	0.44	204	25.68	8529	8	45	46.62	-1.58	888	876
0.36	0.46	352	123072	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/france-F23_AMX_13F3AM.png	SPG	629	1	174	1.91	526	0.63	27.63	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/france-F23_AMX_13F3AM.png	False	357	AMX 13 F3	France	9.95	0.19	48.72	986	176	6.92	568	0.04	16	43.45	4673	6	21	50.49	1.77	830	782
0.44	0.45	373	122565	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/uk-GB29_Crusader_5inch.png	SPG	670	3	212	3.54	613	0.5	35.14	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB29_Crusader_5inch.png	False	356	Crusader SP	UK	5.82	0.21	48.54	996	222	10.08	577	0.03	20	41.13	11345	7	37	49.49	0.95	834	589
0.5	0.11	506	122562	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl29_NC_Wz_70T.png	TD	1756	932	1875	4.44	1200	0.62	77.24	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/poland-Pl29_NC_Wz_70T.png	False	274	Błyskawica	Poland	64.09	2.85	50.8	1440	2823	5.75	201	0.86	292	21.91	7057	10	49	48.79	-2.01	1144	1311
1.25	0.14	451	121320	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/ussr-R39_KV-3.png	HT	920	577	1329	4.39	997	0.66	69.34	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R39_KV-3.png	False	275	KV-3	USSR	64.44	2.83	47.91	931	1903	6.33	101	0.63	188	25.22	5889	7	31	49.07	1.16	1077	1055
0.85	0.2	607	120937	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/ussr-R172_Object_752.png	HT	1862	1071	1629	7.13	1271	0.88	79.88	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R172_Object_752.png	True	301	Obj. 752	USSR	71.83	5.12	50.65	1468	2726	8.92	194	0.92	323	31.11	30465	9	60	52.95	2.3	1508	1563
1.02	0.09	464	120675	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/ussr-R139_IS_M.png	HT	1028	799	1508	4.67	1031	0.54	72.73	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R139_IS_M.png	False	275	IS-M	USSR	61.2	2.86	48.36	1065	2358	6.41	102	0.66	209	22.83	20481	8	36	47.26	-1.1	1050	965
1.22	0.27	370	119950	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/usa-A09_T1_hvy.png	HT	651	343	829	8.32	1031	0.77	67.26	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/usa-A09_T1_hvy.png	False	253	T1	USA	71.05	5.91	48.27	1016	1128	12.36	84	0.94	152	24.07	3361	5	26	50.33	2.06	1291	1311
0.51	0.16	333	119870	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/usa-A134_M24E2_SuperChaffee.png	LT	352	16	623	4.2	1266	0.38	63.72	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/usa-A134_M24E2_SuperChaffee.png	True	197	Super Chaffee	USA	73.16	3.07	48.59	1011	638	6.6	81	2.12	362	12.45	50977	6	12	46.74	-1.85	806	740
0.72	0.17	462	119741	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/uk-GB23_Centurion.png	MT	930	465	1438	6.5	1346	0.57	66.42	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB23_Centurion.png	False	276	Centurion I	UK	68.72	4.47	48.68	1103	1928	9.79	234	0.96	341	23.03	5969	8	34	48.53	-0.15	1101	993
1.25	0.16	437	119621	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/ussr-R72_T150.png	HT	889	433	958	4.71	1017	0.78	68.16	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R72_T150.png	False	264	T-150	USSR	72.34	3.41	48.19	994	1377	6.91	104	0.74	164	25.98	11265	6	28	50.9	2.71	1491	1443
0.5	0.21	485	119560	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/ussr-R109_T54S.png	LT	822	189	1385	4.37	1706	0.52	70.97	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R109_T54S.png	False	243	T-54 ltwt.	USSR	75.23	3.29	50.35	1354	1565	6.16	186	2.78	1008	18.24	18177	9	34	49.16	-1.19	1120	1152
0.29	0.21	512	119540	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/france-F118_Char_Mle_75.png	LT	1125	88	1086	6.93	1605	0.65	67.07	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/france-F118_Char_Mle_75.png	True	221	Char Mle. 75	France	78.39	5.43	52.69	1802	1168	10.33	208	2.56	805	16.03	32321	9	29	50.29	-2.4	1564	1556
0.75	0.47	480	119014	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/uk-GB126_FSV_Scheme_A.png	MT	876	19	956	7.99	1661	0.81	68.53	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB126_FSV_Scheme_A.png	False	279	FSV Sch. A	UK	78.52	6.28	49.85	1285	943	11.66	272	1.33	375	25.97	20561	7	28	51.19	1.34	1341	1446
0.5	0.4	549	118572	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/france-F69_AMX13_57_100_GrandFinal.png	LT	794	6	814	11.07	1651	0.83	74.32	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/france-F69_AMX13_57_100_GrandFinal.png	True	237	AMX 13 57F	France	80.71	8.94	51.65	1623	800	14.9	160	2.82	697	19.78	63297	7	16	51.97	0.32	1700	1588
0.31	0.33	778	118144	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/czech-Cz21_Vz_60S_Dravec.png	HT	3660	1599	2086	11.58	1581	1.34	82.94	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/czech-Cz21_Vz_60S_Dravec.png	True	309	Dravec	Czech	73.99	8.57	56.93	2627	3576	13.97	424	1.68	509	36.81	7281	10	125	60.69	3.76	2085	2777
0.59	0.29	531	117612	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/ussr-R159_SU_130PM_DR.png	TD	1578	1	866	4.42	1174	0.98	62.61	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R159_SU_130PM_DR.png	True	328	Forest Spirit	USSR	77.11	3.41	51.81	1585	811	7.06	871	0.35	180	33.57	27905	8	42	51.67	-0.14	1593	1572
0.98	0.34	360	117446	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/italy-It27_M43_da_105_25_Bassoto.png	TD	755	17	469	3.48	1032	0.82	56.28	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/italy-It27_M43_da_105_25_Bassoto.png	False	308	Bassotto	Italy	75.48	2.63	49	1093	505	6.19	361	0.41	140	31.58	4257	6	27	49.63	0.63	1137	1174
1.12	0.16	467	117328	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/ussr-R175_IS_2_screen.png	HT	1025	381	1146	4.27	1056	0.77	68.88	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R175_IS_2_screen.png	True	271	IS-2S	USSR	68.63	2.93	49.15	1195	1547	6.2	132	0.68	183	25.02	31233	7	33	49.53	0.38	1221	1181
